time,open,high,low,close,volume
1764547200000,90320.50,90396.90,88807.20,88887.70,15090.853
1764548100000,88887.80,89056.20,88312.50,88338.30,8477.223
1764549000000,88338.30,88408.80,87575.80,87712.40,10947.967
1764549900000,87712.40,87747.90,86939.60,86970.70,8747.829
1764550800000,86970.60,87669.30,86900.00,87372.50,7120.036
1764551700000,87372.50,87713.90,87200.10,87227.80,3403.271
1764552600000,87227.80,87572.40,87131.20,87392.60,1841.865
1764553500000,87392.50,87431.70,87111.00,87134.00,1644.628
1764554400000,87134.00,87472.10,87027.30,87363.60,2290.417
1764555300000,87363.60,87425.20,87051.70,87051.70,1365.129
1764556200000,87051.60,87127.10,86537.80,86784.00,5673.216
1764557100000,86784.00,86816.70,86428.70,86685.60,3955.096
1764558000000,86685.70,86791.20,86357.00,86365.60,2775.990
1764558900000,86365.50,86588.00,86281.60,86354.90,2297.595
1764559800000,86355.00,86419.30,86126.00,86419.30,3002.746
1764560700000,86419.30,86441.20,86200.30,86319.20,1589.031
1764561600000,86319.10,86331.10,85894.90,86007.10,3475.591
1764562500000,86007.00,86034.60,85666.00,85709.10,3709.907
1764563400000,85709.10,85984.30,85666.00,85866.90,2263.882
1764564300000,85866.80,85886.30,85706.00,85767.70,1404.349
1764565200000,85767.70,85897.80,85563.70,85726.50,2385.205
1764566100000,85726.40,85979.00,85660.50,85974.20,1661.434
1764567000000,85974.10,85978.70,85606.10,85716.70,1603.997
1764567900000,85716.70,85970.20,85716.60,85966.90,1450.031
1764568800000,85966.80,86241.50,85935.50,86232.00,3513.797
1764569700000,86231.90,86234.30,85967.60,86036.10,1509.032
1764570600000,86036.10,86243.50,85929.50,86243.20,1062.244
1764571500000,86243.10,86314.40,86066.00,86189.90,2096.479
1764572400000,86190.00,86230.80,86033.80,86120.50,924.300
1764573300000,86120.50,86250.00,86006.80,86207.40,906.467
1764574200000,86207.40,86449.40,86103.40,86412.10,1798.789
1764575100000,86412.00,86524.60,86393.40,86487.60,2043.923
1764576000000,86487.30,86626.70,86339.50,86423.30,1796.121
1764576900000,86423.20,86600.00,86399.30,86600.00,851.551
1764577800000,86600.00,86756.80,86450.00,86748.90,1465.826
1764578700000,86748.90,86842.00,86690.10,86811.00,1511.418
1764579600000,86811.00,86886.00,86555.00,86600.00,2284.302
1764580500000,86600.00,86740.00,86459.10,86559.70,1085.894
1764581400000,86559.70,86799.90,86532.30,86795.40,738.678
1764582300000,86795.50,86850.00,86638.10,86659.10,836.981
1764583200000,86659.20,86770.50,86612.50,86625.80,614.669
1764584100000,86625.80,86646.50,86500.80,86544.60,809.413
1764585000000,86544.60,86619.20,86512.90,86587.70,481.433
1764585900000,86587.80,86658.00,86556.80,86599.00,407.842
1764586800000,86599.00,86658.00,86437.40,86448.60,974.046
1764587700000,86448.60,86496.20,86361.20,86427.50,2017.117
1764588600000,86427.50,86454.50,86216.70,86254.20,2028.137
1764589500000,86254.10,86336.60,86090.00,86100.10,1872.088
1764590400000,86100.00,86193.00,85771.70,85842.80,4289.351
1764591300000,85842.90,86028.50,85763.80,85807.10,1912.867
1764592200000,85807.10,85846.60,85350.00,85457.90,3975.941
1764593100000,85457.90,85504.00,84700.10,85396.20,11875.206
1764594000000,85396.30,86129.80,85310.20,86049.90,7188.551
1764594900000,86049.90,86121.80,85880.80,85953.40,1918.122
1764595800000,85953.30,85980.60,85637.00,85746.10,2460.665
1764596700000,85746.20,86080.00,85700.00,85943.20,1849.127
1764597600000,85943.70,86288.00,85918.60,86193.60,3577.692
1764598500000,86193.50,86233.00,85914.20,86193.10,1807.124
1764599400000,86193.10,86625.00,85852.80,86001.20,6807.854
1764600300000,86001.20,86290.60,85810.60,86017.30,4241.085
1764601200000,86017.40,86089.90,85524.90,85544.50,4065.968
1764602100000,85544.60,85700.80,84900.40,84914.40,6215.704
1764603000000,84914.40,84938.70,83847.40,83920.50,12552.194
1764603900000,83920.50,84875.30,83786.00,84650.00,8698.454
1764604800000,84650.00,84832.00,84080.00,84113.60,4668.735
1764605700000,84113.60,84638.10,84011.00,84523.10,4431.107
1764606600000,84523.00,85436.60,84507.40,85105.10,6611.006
1764607500000,85105.10,85158.70,84456.20,84540.30,4949.629
1764608400000,84540.40,84968.90,84529.00,84538.60,2944.813
1764609300000,84538.70,85026.50,84414.10,84952.10,2316.827
1764610200000,84952.00,85176.80,84625.50,85163.10,1952.139
1764611100000,85163.10,85236.60,84863.20,84902.80,1690.315
1764612000000,84902.60,85480.30,84898.90,85399.00,2891.385
1764612900000,85399.10,85528.70,85200.20,85262.20,4503.050
1764613800000,85262.20,85293.00,84677.80,84759.10,2271.492
1764614700000,84759.10,85274.30,84710.00,85159.20,1696.736
1764615600000,85159.10,85262.30,84715.30,84996.50,1830.986
1764616500000,84996.60,85047.30,84685.20,84697.20,1148.511
1764617400000,84697.20,85041.10,84566.40,84707.70,1534.963
1764618300000,84707.70,85074.50,84650.00,84985.00,1165.117
1764619200000,84985.00,85801.50,84966.80,85508.30,6042.846
1764620100000,85508.30,85540.00,85199.40,85221.10,1738.872
1764621000000,85221.10,85432.00,85132.60,85428.50,1534.770
1764621900000,85428.60,85540.00,85262.00,85474.10,1942.801
1764622800000,85474.10,85900.00,85456.00,85608.00,3003.178
1764623700000,85607.90,86328.50,85571.40,86107.30,4914.779
1764624600000,86107.20,86462.70,86107.20,86393.10,3416.626
1764625500000,86393.10,86418.70,86171.70,86380.10,1073.906
1764626400000,86380.10,86787.40,86373.70,86462.40,3046.015
1764627300000,86462.30,86615.10,86356.00,86378.30,922.920
1764628200000,86378.30,86663.60,86238.10,86590.20,1087.823
1764629100000,86590.10,86817.00,86517.40,86518.20,1544.227
1764630000000,86518.40,86700.00,86373.30,86396.30,1282.527
1764630900000,86396.30,86699.90,86396.30,86699.80,839.419
1764631800000,86699.80,86778.00,86439.20,86467.40,1353.245
1764632700000,86467.40,86468.70,86200.00,86241.60,1252.661
1764633600000,86241.50,86538.60,86224.50,86275.40,1367.998
1764634500000,86275.50,86385.10,86140.10,86300.00,1394.228
1764635400000,86300.00,86458.50,86256.00,86307.50,953.199
1764636300000,86307.50,86630.10,86288.30,86472.00,995.468
1764637200000,86471.90,87384.00,86408.10,86738.30,5701.196
1764638100000,86738.40,86836.90,86520.00,86706.00,1323.218
1764639000000,86705.90,86795.80,86474.90,86519.90,975.088
1764639900000,86520.00,86562.00,86346.10,86409.90,1039.494
1764640800000,86409.90,86571.30,86223.20,86524.20,1237.233
1764641700000,86524.20,86813.30,86524.20,86626.10,1376.176
1764642600000,86626.10,86823.00,86598.80,86717.40,691.021
1764643500000,86717.30,86768.90,86481.60,86501.20,1033.587
1764644400000,86501.10,86601.00,86392.10,86576.40,660.911
1764645300000,86576.40,86586.20,86256.80,86303.10,797.975
1764646200000,86303.10,86952.30,86159.90,86932.70,2102.561
1764647100000,86932.80,87066.50,86724.60,86936.00,1997.826
1764648000000,86935.90,87199.10,86916.00,87045.90,1406.018
1764648900000,87045.80,87245.90,86961.70,86985.10,1285.590
1764649800000,86985.00,87018.10,86859.20,86897.50,936.067
1764650700000,86897.50,86986.10,86864.90,86924.90,683.474
1764651600000,86924.80,87081.40,86772.00,86960.90,924.837
1764652500000,86960.80,86998.30,86867.20,86873.00,619.858
1764653400000,86872.90,86933.80,86826.30,86906.30,538.275
1764654300000,86906.00,87033.00,86900.20,86968.70,615.378
1764655200000,86968.60,86968.60,86842.00,86929.70,615.277
1764656100000,86929.80,86953.30,86820.00,86879.70,479.693
1764657000000,86879.70,87148.70,86871.50,87114.70,1157.562
1764657900000,87114.70,87131.70,87041.70,87043.70,424.632
1764658800000,87043.70,87075.00,86862.00,86901.90,714.002
1764659700000,86901.80,86958.30,86834.50,86869.10,587.191
1764660600000,86869.10,86987.40,86869.10,86968.40,424.188
1764661500000,86968.50,87027.30,86941.70,86965.00,567.664
1764662400000,86965.00,87018.10,86638.90,86721.30,1628.603
1764663300000,86721.30,86750.00,86408.10,86460.20,2719.227
